,mSA,iou_threshold,projection,box_extension
0,0.10094604136243908,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.0
1,0.09668234878000008,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.025
2,0.08884379361170691,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.05
3,0.08999286375492331,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.075
4,0.043747652284443474,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.1
5,0.02052943354313217,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.125
6,0.026410948357022245,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.15
7,0.024431808240748837,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.175
8,0.025622555670843643,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.2
9,0.017958336658951236,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.225
10,0.011679454390451833,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.25
11,0.004733893557422969,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.0
12,0.004733893557422969,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.025
13,0.004733893557422969,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.05
14,0.004733893557422969,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.075
15,0.004733893557422969,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.1
16,0.004733893557422969,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.125
17,0.004733893557422969,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.15
18,0.004733893557422969,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.175
19,0.004733893557422969,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.2
20,0.004733893557422969,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.225
21,0.004733893557422969,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.25
22,0.09130419613752946,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.0
23,0.07285690072558447,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.025
24,0.04655458998832493,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.05
25,0.04144532825154791,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.075
26,0.026084487286504372,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.1
27,0.018161483811861508,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.125
28,0.014489991118398582,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.15
29,0.004733893557422969,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.175
30,0.004733893557422969,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.2
31,0.002352941176470588,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.225
32,0.001176470588235294,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.25
33,0.10752502855929957,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.0
34,0.10217192524818855,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.025
35,0.08655637992078445,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.05
36,0.07086881586236857,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.075
37,0.05403608954854714,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.1
