,mSA,iou_threshold,projection,box_extension
0,0.02885728888836009,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.0
1,0.06477111677775838,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.025
2,0.021074901865655186,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.05
3,0.014664983329886846,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.075
4,0.012167187267588874,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.1
5,0.01072930376970065,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.125
6,0.004733893557422969,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.15
7,0.0011904761904761904,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.175
8,0.0011904761904761904,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.2
9,0.0023809523809523807,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.225
10,0.0023809523809523807,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.25
11,0.0023809523809523807,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.0
12,0.0023809523809523807,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.025
13,0.0023809523809523807,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.05
14,0.0023809523809523807,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.075
15,0.0023809523809523807,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.1
16,0.0023809523809523807,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.125
17,0.0023809523809523807,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.15
18,0.0023809523809523807,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.175
19,0.0023809523809523807,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.2
20,0.0023809523809523807,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.225
21,0.0023809523809523807,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.25
22,0.11591666643744294,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.0
23,0.3479051674368775,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.025
24,0.347531558714368,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.05
25,0.33304042658035915,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.075
26,0.3173691005988238,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.1
27,0.19579239440881116,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.125
28,0.2661293480218348,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.15
29,0.1844720678460648,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.175
30,0.14655429261670538,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.2
31,0.21602080670149598,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.225
32,0.19144910909589336,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.25
33,0.05106858528321845,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.0
34,0.036230701400021735,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.025
35,0.008320340184266476,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.05
36,0.0012195121951219512,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.075
37,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.1
38,0.0012048192771084338,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.125
39,0.0012048192771084338,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.15
40,0.0024390243902439024,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.175
41,0.0024691358024691358,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.2
42,0.0025,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.225
43,0.0024390243902439024,0.5,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.25
44,0.00855379188712522,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.0
45,0.012533933201159067,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.025
46,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.05
47,0.001176470588235294,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.075
48,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.1
49,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.125
